"object_id","category","gameobject_name","gameobject_file_id","transform_file_id","object_identity_file_id","local_position","parent_transform_file_id","note"
"room_shell_01","room","Conference Room","1650224853","1650224854","7300000000","(-15.2728815, 5.3232884, -12.534252)","0","Existing room shell / imported room root."
"environment_01","room","Environment","952334433","952334434","7300000001","(0, 0, 0)","0","Existing environment root."
"furniture_group_01","group","Generated Furniture","1557114090","1557114091","7300000002","(0, 0, -6)","952334434","Existing generated furniture root."
"meeting_table_01","furniture","Large Conference Table","1519642791","1519642792","7300000003","(0, 0, 0)","1557114091","Main conference table."
"table_target_area","task_area","Meeting Table Accessories","8389489","8389490","7300000004","(0, 0, 0)","1557114091","Existing centered table accessory group used as the table target area."
"cabinet_01","furniture","Openable Cabinet","7600000000","7600000001","7600000002","(12.87, 0, 7.33)","1557114091","Openable side cabinet; optional exploration object."
"cabinet_door_01","interactive_part","Cabinet Sliding Door","7600000100","7600000101","7600000102","(0, 0.92, 0.34)","7600000001","Sliding cabinet door moved by OpenableCabinet."
"cabinet_handle_01","interactive_part","Cabinet Door Handle","7600000120","7600000121","7600000125","(-0.42, 0, 0.07)","7600000101","Visible handle on the sliding cabinet door."
"locked_door_01","puzzle_exit","Locked Exit Door","7800000100","7800000101","7800000105","(5.88, 1.15, -4.45)","7800000001","Puzzle exit door; trigger: door inspected."
"keypad_01","puzzle_input","Door Keypad","7800000200","7800000201","7800000205","(5.72, 1.18, -5.18)","7800000001","Final password entry object; trigger: password input."
"whiteboard_01","puzzle_clue","Puzzle Whiteboard","7800000300","7800000301","7800000305","(-3.15, 2.05, -3.18)","7800000001","First clue object; trigger: whiteboard observed."
"seat_card_01","puzzle_clue","Seat Card 01","7800000400","7800000401","7800000405","(-1.85, 1.08, -7.02)","7800000001","Seat order clue: Seat 1 = circle; contributes first password symbol."
"seat_card_02","puzzle_clue","Seat Card 02","7800000500","7800000501","7800000505","(-0.62, 1.08, -7.02)","7800000001","Seat order clue: Seat 2 = star; contributes second password symbol."
"seat_card_03","puzzle_clue","Seat Card 03","7800000600","7800000601","7800000605","(0.62, 1.08, -7.02)","7800000001","Seat order clue: Seat 3 = triangle; contributes third password symbol."
"seat_card_04","puzzle_clue","Seat Card 04","7800000700","7800000701","7800000705","(1.85, 1.08, -7.02)","7800000001","Seat order clue: Seat 4 = square; contributes fourth password symbol."
"player_start","spawn_marker","Player Start Marker","7800000800","7800000801","7800000805","(0, 0.08, -3.85)","7800000001","Recommended first-person spawn marker inside the meeting room."
"victory_exit_point","exit_marker","Victory Exit Point","7800000900","7800000901","7800000905","(6.35, 0.08, -4.45)","7800000001","Recommended win/exit marker beyond the locked door."
"chair_01","furniture","Conference Chair","119337048","119337049","7300000005","(-2.25, 0, -1.85)","1557114091","Front row, left 1."
"chair_02","furniture","Conference Chair","1575176793","1575176794","7300000006","(-0.75, 0, -1.85)","1557114091","Front row, left 2."
"chair_03","furniture","Conference Chair","326599794","326599795","7300000007","(0.75, 0, -1.85)","1557114091","Front row, right 2."
"chair_04","furniture","Conference Chair","717476028","717476029","7300000008","(2.25, 0, -1.85)","1557114091","Front row, right 1."
"chair_05","furniture","Conference Chair","1341993764","1341993765","7300000009","(-3.65, 0, 0)","1557114091","Left side chair."
"chair_06","furniture","Conference Chair","265705567","265705568","7300000010","(3.65, 0, 0)","1557114091","Right side chair."
"chair_07","furniture","Conference Chair","754601251","754601252","7300000011","(-2.25, 0, 1.85)","1557114091","Rear row, left 1."
"chair_08","furniture","Conference Chair","299238179","299238180","7300000012","(-0.75, 0, 1.85)","1557114091","Rear row, left 2."
"chair_09","furniture","Conference Chair","682710445","682710446","7300000013","(0.75, 0, 1.85)","1557114091","Rear row, right 2."
